City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
443,Puerto Palomas,MX,84.78,overcast clouds,31.7667,-107.6167,Hotel San Carlos
445,Guaimaro,CU,83.75,scattered clouds,21.05,-77.35,La Constitución de Guáimaro
447,Kota Belud,MY,75.9,scattered clouds,6.351,116.4305,Tang Dynasty Lodge Kota Belud
452,Peabiru,BR,77.22,clear sky,-23.9128,-52.3431,La visa hotel
463,Bani,DO,79.86,few clouds,18.2833,-70.3333,Hospedaje Henriquez
465,Sarishabari,BD,76.01,scattered clouds,24.7333,89.8333,Bangali Telecom
469,Praya,CV,81.14,few clouds,14.9215,-23.5087,LT Aparthotel
471,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,Storyboard Beach Resort
472,Kununurra,AU,76.98,broken clouds,-15.7667,128.7333,Hotel Kununurra
482,Zwedru,LR,81.97,overcast clouds,6.0667,-8.1281,Elijah Worjloh
484,Bosaso,SO,82.99,clear sky,11.2842,49.1816,Red Sea Hotel
485,Thayetmyo,MM,81.61,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
486,Pedasi,PA,88.07,overcast clouds,7.5333,-80.0333,Selina Pedasi
487,Inhumas,BR,85.73,broken clouds,-16.3578,-49.4961,Hotel Classic
495,Dangriga,BZ,82.96,clear sky,16.9692,-88.2321,Chaleanor Hotel
497,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
498,Pathein,MM,79.47,scattered clouds,16.7833,94.7333,Pathein Hotel
502,Kupang,ID,77.27,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
504,Bilma,NE,86.74,broken clouds,18.6853,12.9164,Expeditions Ténére voyages
510,Santa Ana,US,75.42,scattered clouds,33.7456,-117.8678,"Motel 6 Santa Ana, CA"
513,Axim,GH,82.08,broken clouds,4.8699,-2.2405,Axim Beach Resort And Spa
517,Aden,YE,82.33,clear sky,12.7794,45.0367,Sama Emirate Hotel
520,Quatre Cocos,MU,80.1,broken clouds,-20.2078,57.7625,Sunrise Attitude Hotel
524,Natal,BR,88.45,few clouds,-5.795,-35.2094,Villa Park Hotel | Natal
525,Pasco,US,82.18,clear sky,28.292,-82.4165,Connection Community/Park
529,Male,MV,85.95,broken clouds,4.1748,73.5089,Hotel Octave Maldives
530,Morgan City,US,75.0,clear sky,29.6994,-91.2068,Hampton Inn & Suites Morgan City
533,Veraval,IN,81.68,broken clouds,20.9,70.3667,Lords Inn Somnath
