City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Morondava,MG,2022-04-18 19:13:12,-20.2833,44.2833,80.78,81,7,8.16
211,Apac,UG,2022-04-18 19:13:13,1.9756,32.5386,70.21,80,100,1.63
212,Nicosia,CY,2022-04-18 19:13:14,35.1667,33.3667,66.33,72,100,16.11
213,Kenitra,MA,2022-04-18 19:13:14,34.261,-6.5802,65.16,90,92,7.43
214,Berlevag,NO,2022-04-18 19:13:14,70.8578,29.0864,40.8,97,100,25.77
215,Amapa,BR,2022-04-18 19:13:15,1.0,-52.0,78.66,95,100,2.19
216,Gravelbourg,CA,2022-04-18 19:13:17,49.8834,-106.5512,32.29,81,19,9.44
217,Teguise,ES,2022-04-18 19:13:17,29.0605,-13.564,70.02,56,0,21.85
218,Kansanshi,ZM,2022-04-18 19:13:18,-12.0951,26.4273,61.5,96,15,3.71
219,Sao Filipe,CV,2022-04-18 19:13:18,14.8961,-24.4956,72.5,75,79,11.81
220,Mokhsogollokh,RU,2022-04-18 19:13:19,61.4681,128.9203,25.77,98,100,2.15
221,Port Hardy,CA,2022-04-18 19:13:19,50.6996,-127.4199,41.18,87,100,19.57
222,Khani,GE,2022-04-18 19:13:20,41.9563,42.9566,65.77,62,58,9.37
223,Pevek,RU,2022-04-18 19:13:21,69.7008,170.3133,9.55,94,100,5.01
224,Imeni Babushkina,RU,2022-04-18 19:13:21,59.7573,43.1285,34.09,99,98,3.29
225,Byron Bay,AU,2022-04-18 19:08:41,-28.65,153.6167,57.7,83,11,2.8
226,Gornopravdinsk,RU,2022-04-18 19:13:22,60.05,69.9,27.95,88,79,6.55
227,Biysk,RU,2022-04-18 19:13:23,52.5364,85.2072,51.06,73,100,13.62
228,Theunissen,ZA,2022-04-18 19:13:23,-28.411,26.7011,56.55,56,0,5.82
229,Tawau,MY,2022-04-18 19:13:24,4.2498,117.8871,78.01,87,19,5.59
230,Vierzon,FR,2022-04-18 19:13:25,47.2101,2.0625,63.95,75,100,6.76
231,Rodino,RU,2022-04-18 19:13:26,52.5,80.25,46.96,80,100,13.89
232,Daru,PG,2022-04-18 19:13:26,-9.0763,143.2092,74.91,90,100,3.53
233,Paka,MY,2022-04-18 19:13:27,4.6374,103.4368,78.91,86,100,2.66
234,Oranjemund,NA,2022-04-18 19:13:28,-28.55,16.4333,67.37,51,0,11.83
